Game,away,away-record,awayaway-record,home,home-record,homehome-record,away-score,home-score,postseason info,Walks Issued - Away,Walks Issued - Home,Stolen Bases - Away,Stolen Bases - Home,Strikeouts Thrown - Away,Strikeouts Thrown - Home,Total Bases - Away,Total Bases - Home,Stadium,Date,Location,Odds,O/U,Attendance,Capacity,Duration,Umpires,WIN - Pitcher - Stats,WIN - Pitcher - Id,WIN - Pitcher - Name,WIN - Pitcher - AbbrName,WIN - Pitcher - Record,LOSS - Pitcher - Stats,LOSS - Pitcher - Id,LOSS - Pitcher - Name,LOSS - Pitcher - AbbrName,LOSS - Pitcher - Record,SAVE - Pitcher - Stats,SAVE - Pitcher - Id,SAVE - Pitcher - Name,SAVE - Pitcher - AbbrName,SAVE - Pitcher - Record,Extra Innings
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Coverage: ESPN,,,,,,,,,,,,,,,,,,,,,,,,
360404115,WSH,Jan-00,1-0 Away,ATL,0-1,0-1 Home,4,3,,5,5,1,0,11,11,15,10,Center Parc Stadium,2016-04-04T20:10Z,"Atlanta, Georgia",,,"48,282","49,743",3:23,"Home Plate Umpire - Jerry Meals, First Base Umpire - Ron Kulpa, Second Base Umpire - Paul Nauert, Third Base Umpire - Chris Conroy","1.0 IP, 0 ER, 1 K, 1 BB",32185,Blake Treinen,B. Treinen,(1-0),"0.1 IP, 0 ER, 0 K, 0 BB",28549,Eric O'Flaherty,E. O'Flaherty,(0-1),"1.0 IP, 0 ER, 1 K, 0 BB",6373,Jonathan Papelbon,J. Papelbon,-1,TRUE
,,,,,,,,,,,,,,,,,,,,39901,,,,,,,,,,,,,,,,,,,,,,
360404117,PHI,0-1,0-1 Away,CIN,Jan-00,1-0 Home,2,6,,3,1,0,0,7,10,10,9,Great American Ball Park,2016-04-04T20:10Z,"Cincinnati, Ohio",,,"43,683","42,319",2:56,"Home Plate Umpire - Bill Miller, First Base Umpire - Tony Randazzo, Second Base Umpire - Brian Knight, Third Base Umpire - Todd Tichenor","0.1 IP, 0 ER, 1 K, 0 BB",28695,Ross Ohlendorf,R. Ohlendorf,(1-0),"0.0 IP, 3 ER, 0 K, 2 BB",30058,David Hernandez,D. Hernandez,(0-1),,,,,,
,,,,,,,,,,,,,,,,,,,,45202,,,,,,,,,,,,,,,,,,,,,,
360404125,LAD,Jan-00,1-0 Away,SD,0-1,0-1 Home,15,0,,2,4,0,0,10,10,26,5,Petco Park,2016-04-04T23:00Z,"San Diego, California",,,"44,317","41,164",3:10,"Home Plate Umpire - Gary Cederstrom, First Base Umpire - Eric Cooper, Second Base Umpire - Jim Wolf, Third Base Umpire - Adrian Johnson","7.0 IP, 0 ER, 9 K, 1 BB",28963,Clayton Kershaw,C. Kershaw,(1-0),"5.1 IP, 7 ER, 5 K, 1 BB",30099,Tyson Ross,T. Ross,(0-1),,,,,,
,,,,,,,,,,,,,,,,,,,,92101,,,,,,,,,,,,,,,,,,,,,,
